holding_cost,order_fixed,stockout_penalty,learning_rate,n_steps,n_epochs,vf_coef,ent_coef,batch_size,rl_avg_profit,rl_avg_stockouts,rl_avg_inventory,train_time_s
0.5,5.0,200.0,0.0001,1024,8,0.25,0.01,64,252.33017159536362,0.0,115.49719366204249,116.31130385398865
0.5,20.0,10.0,3e-05,512,5,0.25,0.0,64,265.6942502398481,1566.749152902595,20.664741024219826,88.35918521881104
0.5,20.0,10.0,3e-05,512,5,0.25,0.01,64,274.89060061435555,1373.8663244934228,8.714623645695616,89.81366324424744
0.5,20.0,10.0,3e-05,512,8,0.25,0.0,64,129.25461383351816,6945.186777231762,29.696849061103716,114.71357774734497
0.5,20.0,10.0,3e-05,512,8,0.25,0.01,64,135.64021921675027,7155.406182237236,8.302000781649799,116.25729417800903
0.5,20.0,10.0,3e-05,2048,5,0.25,0.0,64,295.32834320696907,251.3125194194913,19.929009950062998,90.5465292930603
0.5,20.0,10.0,3e-05,2048,5,0.25,0.01,64,145.63203752515554,6898.084372486255,4.993805830720556,89.05226588249207
0.5,20.0,10.0,3e-05,2048,8,0.25,0.0,64,-17.973726548190776,13885.450777611544,2.074604341760788,113.35194444656372
0.5,20.0,10.0,3e-05,2048,8,0.25,0.01,64,247.5646914978529,2302.2831884296206,14.78889306163262,112.22813439369202
0.5,20.0,10.0,3e-05,1024,5,0.25,0.0,64,283.4908208714613,571.785277318301,20.54354509614918,87.60381197929382
0.5,20.0,10.0,3e-05,1024,5,0.25,0.01,64,294.89797945773364,395.8730098150488,16.85707500027467,86.90105557441711
0.5,20.0,10.0,3e-05,1024,8,0.25,0.0,64,155.69670771301293,6211.2838888597835,19.29053648693921,109.71528124809265
0.5,20.0,10.0,3e-05,1024,8,0.25,0.01,64,274.9539144145472,0.0,67.34264293931935,110.55363440513611
0.5,20.0,10.0,0.0001,512,5,0.25,0.0,64,290.51148776240774,403.4849345823043,19.80117907475527,87.78625535964966
0.5,20.0,10.0,0.0001,512,5,0.25,0.01,64,274.85188206708233,1338.954300653329,14.024428929440067,81.34657263755798
0.5,20.0,10.0,0.0001,512,8,0.25,0.0,64,240.57711499449528,2442.248586288379,21.879657970158615,104.60371112823486
0.5,20.0,10.0,0.0001,512,8,0.25,0.01,64,126.70375735857468,7216.299905002957,25.264441987757813,103.31176400184631
0.5,20.0,10.0,0.0001,2048,5,0.25,0.0,64,289.656497851485,527.8916060811598,18.841795216096592,81.7091281414032
0.5,20.0,10.0,0.0001,2048,5,0.25,0.01,64,287.9487424730236,658.8410281157954,15.694841478785424,82.016934633255
0.5,20.0,10.0,0.0001,2048,8,0.25,0.0,64,289.8985672172349,351.1585393535087,29.90873219997099,103.95328664779663
0.5,20.0,10.0,0.0001,2048,8,0.25,0.01,64,271.91024968968657,1218.2357784132942,23.7326673156268,103.86380195617676
0.5,20.0,10.0,0.0001,1024,5,0.25,0.0,64,256.5386672915025,1945.5897230683654,17.695049810407504,80.3793363571167
0.5,20.0,10.0,0.0001,1024,5,0.25,0.01,64,210.94603985350787,3912.9739883593343,12.989924168064169,85.72213935852051
0.5,20.0,10.0,0.0001,1024,8,0.25,0.0,64,280.8629012365706,767.572660239273,26.416021131358736,115.02617764472961
0.5,20.0,10.0,0.0001,1024,8,0.25,0.01,64,63.951401130083184,10257.875294454323,3.927693633468286,116.09620690345764
0.5,20.0,50.0,3e-05,512,5,0.25,0.0,64,272.6955209480087,1.4133419547866382,71.67392528586193,92.98668146133423
0.5,20.0,50.0,3e-05,512,5,0.25,0.01,64,270.38577041039446,0.0,77.45720843798493,88.06432247161865
